t,group,first_shot_rate,immun_gain,immun_loss,rel_inf_prob_mult,pS_mult,hosp_mult,dnh_mult,dh_mult
111,40-64,0,0,0,1,1,1,1,1
111,65+,0,0,0,1,1,1,1,1
112,0-19,0,0,0,1,1,1,1,1
112,20-39,0,0,0,1,1,1,1,1
112,40-64,0,0,0,1,1,1,1,1
112,65+,0,0,0,1,1,1,1,1
113,0-19,0,0,0,1,1,1,1,1
113,20-39,0,0,0,1,1,1,1,1
113,40-64,0,0,0,1,1,1,1,1
113,65+,0,0,0,1,1,1,1,1
114,0-19,0,0,0,1,1,1,1,1
114,20-39,0,0,0,1,1,1,1,1
114,40-64,0,0,0,1,1,1,1,1
114,65+,0,0,0,1,1,1,1,1
115,0-19,0,0,0,1,1,1,1,1
115,20-39,0,0,0,1,1,1,1,1
115,40-64,0,0,0,1,1,1,1,1
115,65+,0,0,0,1,1,1,1,1
116,0-19,0,0,0,1,1,1,1,1
116,20-39,0,0,0,1,1,1,1,1
116,40-64,0,0,0,1,1,1,1,1
116,65+,0,0,0,1,1,1,1,1
117,0-19,0,0,0,1,1,1,1,1
117,20-39,0,0,0,1,1,1,1,1
117,40-64,0,0,0,1,1,1,1,1
117,65+,0,0,0,1,1,1,1,1
118,0-19,0,0,0,1,1,1,1,1
118,20-39,0,0,0,1,1,1,1,1
118,40-64,0,0,0,1,1,1,1,1
118,65+,0,0,0,1,1,1,1,1
119,0-19,0,0,0,1,1,1,1,1
119,20-39,0,0,0,1,1,1,1,1
119,40-64,0,0,0,1,1,1,1,1
119,65+,0,0,0,1,1,1,1,1
120,0-19,0,0,0,1,1,1,1,1
120,20-39,0,0,0,1,1,1,1,1
120,40-64,0,0,0,1,1,1,1,1
120,65+,0,0,0,1,1,1,1,1
121,0-19,0,0,0,1,1,1,1,1
121,20-39,0,0,0,1,1,1,1,1
121,40-64,0,0,0,1,1,1,1,1
121,65+,0,0,0,1,1,1,1,1
122,0-19,0,0,0,1,1,1,1,1
122,20-39,0,0,0,1,1,1,1,1
122,40-64,0,0,0,1,1,1,1,1
122,65+,0,0,0,1,1,1,1,1
123,0-19,0,0,0,1,1,1,1,1
123,20-39,0,0,0,1,1,1,1,1
123,40-64,0,0,0,1,1,1,1,1
123,65+,0,0,0,1,1,1,1,1
124,0-19,0,0,0,1,1,1,1,1
124,20-39,0,0,0,1,1,1,1,1
124,40-64,0,0,0,1,1,1,1,1
124,65+,0,0,0,1,1,1,1,1
125,0-19,0,0,0,1,1,1,1,1
